BlockName(eg:OML150),CompanyName,Lease_Type,Date_Of_Award(eg:yyyy/MM/dd)
OML100,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,JVC,2013
OML102,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,JVC,2013
OML103,CONSOLIDATED OIL COMPANY LIMITED,SR,1993
OML104,MOBIL PRODUCING NIGERIA UNLIMITED,JVC,1998
OML108 ,EXPRESS PETROLEUM & GAS COMPANY LIMITED,SR,1995
OML109,ATLAS PETROLEUM NIGERIA LIMITED,SR,1996
OML11,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1960
OML110,CAVENDISH PETROLEUM NIGERIA LIMITED,SR,1996
OML111,NIGERIAN PETROLEUM DEVELOPMENT COMPANY,SR,1996
OML112,AMNI INTERNATIONAL PETROLEUM LIMITED,SR,1998
OML113,YINKA FOLAWIYO PETROLEUM COMPANY LTD.,SR,1998
OML114,MONI PULO LIMITED,SR,1999
OML115 ,ORIENTAL ENERGY RESOURCES LIMITED,SR,1999
OML116,AGIP ENERGY & NATURAL RESOURCES (AENR),SC,1999
OML117,AMNI INTERNATIONAL PETROLEUM LIMITED,SR,1999
OML118 ,SHELL NIGERIA EXPLORATION & PRODUCTION CO. LTD.,PSC,1993
OML119,NIGERIAN PETROLEUM DEVELOPMENT COMPANY,SR,2000
OML120,ALLIED ENERGY RESOURCES NIGERIA LIMITED,SR,2001
OML121,ALLIED ENERGY RESOURCES NIGERIA LIMITED,SR,2001
OML122 ,PEAK PETROLEUM INDUSTRIES NIGERIA LIMITED,SR,2001
OML123,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) COMPANY,PSC,2002
OML124,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) COMPANY,PSC,2002
OML125 ,NIGERIAN AGIP EXPLORATION,PSC,2003
OML126,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) COMPANY,PSC,2004
OML127,STARDEEP PETROLEUM,PSC,2004
OML128 ,STATOIL NIGERIA LIMITED,PSC,2004
OML129 ,STATOIL NIGERIA LIMITED,PSC,2004
OML13,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1960
OML130,SOUTH ATLANTIC PETROLEUM LIMITED,SR,2005
OML131,CONCOCOPHILIPS NIGERIA LIMITED,PSC,2005
OML132,CHEVRON NIGERIA LIMITED,PSC,1999
OML133,ESSO EXPLORATION & PRODUCTION NIG. LTD.,PSC,2006
OML134 ,NIGERIAN AGIP EXPLORATION,PSC,2006
OML135 ,SHELL NIGERIA EXPLORATION & PRODUCTION CO. LTD.,PSC,1993
OML136,CONSOLIDATED OIL COMPANY LIMITED,SR,2006
OML137,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) COMPANY,PSC,2007
OML138 ,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,PSC,2007
OML139 ,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,PSC,2007
OML140 ,OIL AND GAS NIGERIA LIMITED,SR,2007
OML141,EMERALD ENERGY RESOURCES LIMITED,SR,2007
OML142,SUMMIT OIL INTERNATIONAL LIMITED,SR,2009
OML143,STERLING GLOBAL OIL RESOURCES LIMITED,PSC,2010
OML144,SUNLINK PETROLEUM,SR,2013
OML16,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML17,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML18,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML20,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML21,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML22,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML24,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML25,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML26,FIRST HYDROCARBON,JVC,2011
OML27,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML28,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML29,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML30,SHORELINE,JVC,2012
OML31,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML32,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML33,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML34,NIGER DELTA WESTERN LIMITED,JVC,2012
OML35,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML36,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML38,SEPLAT PETROLEUM,JVC,2010
OML4,SEPLAT PETROLEUM,JVC,2010
OML40,ELCREST,JVC,2012
OML41,SEPLAT PETROLEUM,JVC,2010
OML42,NECONDE,JVC,2011
OML43,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML45,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML46,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1962
OML49,CHEVRON NIGERIA LIMITED,JVC,1967
OML51,CHEVRON NIGERIA LIMITED,JVC,1967
OML52,CHEVRON NIGERIA LIMITED,JVC,1967
OML53,CHEVRON NIGERIA LIMITED,JVC,1967
OML55,CHEVRON NIGERIA LIMITED,JVC,1967
OML58,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,JVC,1997
OML59,CONTINENTAL OIL & GAS COMPANY LIMITED,SR,1998
OML60,NIGERIAN AGIP OIL COMPANY LIMITED,JVC,1997
OML61,NIGERIAN AGIP OIL COMPANY LIMITED,JVC,1997
OML62,NIGERIAN AGIP OIL COMPANY LIMITED,JVC,1997
OML63,NIGERIAN AGIP OIL COMPANY LIMITED,JVC,1997
OML64,NIGERIAN PETROLEUM DEVELOPMENT COMPANY,SR,1989
OML65,NIGERIAN PETROLEUM DEVELOPMENT COMPANY,SR,1989
OML66,NIGERIAN PETROLEUM DEVELOPMENT COMPANY,SR,1989
OML67,MOBIL PRODUCING NIGERIA UNLIMITED,JVC,2011
OML68,MOBIL PRODUCING NIGERIA UNLIMITED,JVC,2011
OML70,MOBIL PRODUCING NIGERIA UNLIMITED,JVC,2011
OML71,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1968
OML72,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1968
OML74,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1968
OML77,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1968
OML79,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,JVC,1968
OML83,CHEVRON NIGERIA LIMITED,JVC,1968
OML85,CHEVRON NIGERIA LIMITED,JVC,1968
OML86,CHEVRON NIGERIA LIMITED,JVC,1968
OML88,CHEVRON NIGERIA LIMITED,JVC,1968
OML89,CHEVRON NIGERIA LIMITED,JVC,1968
OML90,CHEVRON NIGERIA LIMITED,JVC,1968
OML91,CHEVRON NIGERIA LIMITED,JVC,1968
OML95,CHEVRON NIGERIA LIMITED,JVC,1968
OML96,DUBRI OIL COMPANY NIGERIA LIMITED,SR,2013
OML98,PAN OCEAN OIL CORPORATION,JVC,1980
OML99,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,JVC,2013
OPL135,GLOBAL ENERGY COMPANY LIMITED ,PSC,2006
OPL2005,STERLING GLOBAL OIL RESOURCES LIMITED,PSC,2007
OPL2006,STERLING GLOBAL OIL RESOURCES LIMITED,PSC,2007
OPL2007,CONTINENTAL OIL & GAS COMPANY LIMITED,PSC,2007
OPL2008,TENOIL,PSC,2007
OPL2009,GLOBAL ENERGY COMPANY LIMITED   ,PSC,2007
OPL2010,GLOBAL ENERGY COMPANY LIMITED  ,PSC,2007
OPL2012,GRASSO/SIGNMUND,PSC,2012
OPL204,AFRICOIL & MARKETING,SR,2005
OPL206,SUMMIT OIL INTERNATIONAL LIMITED,SR,1990
OPL214,ESSO EXPLORATION & PRODUCTION NIG. LTD.,PSC,2000
OPL215,NOREAST PETROLEUM NIGERIA LIMITED,SR,1991
OPL221,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,PSC,2003
OPL223,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,PSC,2005
OPL226,ESSAR EXPLORATION,PSC,2007
OPL227,EXPRESS PETROLEUM & GAS COMPANY LIMITED,SR,2000
OPL228,SAHARA ENERGY EXPLORATION & PRODUCTION,PSC,2007
OPL231,MONI PULO LIMITED,PSC,2007
OPL233,NIG-DEL UNITED LIMITED,PSC,2006
OPL234,MONI PULO LIMITED,PSC,2007
OPL236,OANDO EXPLORATION AND PRODUCTION LIMITED,PSC,2005
OPL239,MONI PULO LIMITED,PSC,2007
OPL240,BOC JNHP CONSORTIUM,PSC,2007
OPL241,OILWORLD LIMITED,PSC,2007
OPL242,NIGERIAN PETROLEUM DEVELOPMENT COMPANY,PSC,2011
OPL244,NIGERIAN AGIP EXPLORATION,PSC,2000
OPL245,SHELL NIGERIA EXPLORATION & PRODUCTION CO. LTD.,PSC,2003
OPL247,HERITAGE OIL AND GAS,PSC,1999
OPL248,ZEBBRA ENERGY LIMITED,PSC,1999
OPL251,DSV,PSC,2012
OPL252,INC NATURAL RESOURCES,PSC,2006
OPL257,CONSOLIDATED OIL COMPANY LIMITED,PSC,2005
OPL274,ENAGEED RESOURCES LIMITED,PSC,2007
OPL275,PAN OCEAN OIL CORPORATION,PSC,2007
OPL276,NEW CROSS PETROLEUM,PSC,2006
OPL277,STERLING GLOBAL OIL RESOURCES LIMITED,PSC,2005
OPL278,OANDO EXPLORATION AND PRODUCTION LIMITED,PSC,2005
OPL279,ONGC - MITTAL,PSC,2006
OPL281,TRANSNATIONAL CORPORATION,PSC,2006
OPL282,NIGERIAN AGIP OIL COMPANY LIMITED,PSC,2005
OPL283,NEW CROSS PETROLEUM,PSC,2006
OPL284,SAHARA ENERGY EXPLORATION & PRODUCTION,PSC,2006
OPL286,BG EXPLORATION,PSC,2006
OPL289,CLEANWATERS CONSORTIUM,PSC,2006
OPL290,CONSOLIDATED OIL COMPANY LIMITED,PSC,2007
OPL291,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) COMPANY,PSC,2006
OPL292,INC NATURAL RESOURCES,PSC,2006
OPL297,ONGC - MITTAL,PSC,2006
OPL302,ALFRED JAMES NIGERIA LIMITED,SR,2006
OPL305,CROWNWELL PETROLEUM LIMITED,SR,1993
OPL306,CROWNWELL PETROLEUM LIMITED,SR,1993
OPL310,OPTIMUM PETROLEUM,SR,2004
OPL320,ORANTO  PETROLEUM LTD,PSC,1999
OPL321,KNOC NIGERIA,PSC,2006
OPL322,DAJO OIL LIMITED,PSC,2004
OPL323,KNOC NIGERIA,PSC,2006
OPL325,NIGERIAN PETROLEUM DEVELOPMENT COMPANY,PSC,2005
OPL452,AMALGAMATED OIL,SR,2012
OPL471,CNODC,PSC,2006
OPL702,FES,SR,1967
OPL703,FES,SR,1967
OPL705,FES,SR,1967
OPL707,FES,SR,1967
OPL722,NEW NIGERIA,PSC,2005
OPL732,CNODC,PSC,2006
OPL733,NEW NIGERIA,PSC,2005
OPL809,NEW NIGERIA,PSC,2005
OPL810,NEW NIGERIA,PSC,2005
OPL905,GAS TRANSMISSION & POWER LIMITED,PSC,2007
OPL907,AFREN GLOBAL ENERGY RESOURCES LIMITED,PSC,2005
OPL915,ORIENT PETROLEUM REFINERY LIMITED,SR,2005
OPL916,ORIENT PETROLEUM REFINERY LIMITED,SR,2005
OPL917,AFREN GLOBAL ENERGY RESOURCES LIMITED,PSC,2005
BLOCK B,MOBIL PRODUCING NIGERIA UNLIMITED,,
BLOCK B,MOBIL PRODUCING NIGERIA UNLIMITED,,
BLOCK E,TFE EP GQ,,
BLOCKB,MOBIL PRODUCING NIGERIA UNLIMITED,,
CONCESSION II,JEREZ ENERGY INC,,
CONCESSION II,JEREZ ENERGY INC,,
CONCESSION II,JEREZ ENERGY INC,,
CONCESSION II,JEREZ ENERGY INC,,
CONCESSION II,JEREZ ENERGY INC,,
CONCESSION II,JEREZ ENERGY INC,,
OML1,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML1,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML1,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML1,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML1,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML101,MOBIL PRODUCING NIGERIA UNLIMITED,,
OML101,MOBIL PRODUCING NIGERIA UNLIMITED,,
