RCNumber,name,CanonialName,address,contactfirstname,contactlastname,contactemail,contactphone,designation
,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) LIMITED,,"10, Bishop Aboyade Cole Street, Victoria Island, Lagos.",,,,,
,AFREN GLOBAL ENERGY RESOURCES LIMITED,,,,,,,
,AFRICOIL & MARKETING,,,,,,,
,AGIP ENERGY & NATURAL RESOURCES (AENR),,,,,,,
,ALFRED JAMES NIGERIA LIMITED,,,,,,,
RC180681,ALLIED ENERGY RESOURCES NIGERIA  LIMITED,,"Plot 1649, Olosa Street, Victoria Island, Lagos, Nigeria.",Olayide ,Olufemi,www.alliedenergyplc.com,-4603133,olayide olufemi
,AMALGAMATED OIL,,,,,,,
,AMNI INTERNATIONAL PETROLEUM LIMITED,,"1377 Tiamiyu Salvage Street, Victoria Island, Lagos.",,,,,
,ASHBERT,,,,,,,
,ASSOCIATED OIL & GAS LIMITED,,,,,,,
,ATLAS PETROLEUM NIGERIA LIMITED,,"Plot 8, Water Corporation way, Off Ligali Ayorinde, Oniru Estate, Victoria Island, Lagos.",,,,,
,BAYELSA PETROLEUM,,,,,,,
,BG EXPLORATION,,,,,,,
,BICTA ENERGY,,,,,,,
,BOC JNHP CONSORTIUM,,,,,,,
,BRITTANIA-U NIGERIA LIMITED,,"14, Saka Tinubu Street, Off Akin Adesola Street, Victoria Island, Lagos.",Dan,De la Garza,operations@brittania-u.com,-660873.5714,Dan De La Garza
,CAVENDISH PETROLEUM NIGERIA LIMITED,,"22, Adeleke Adedoyin Street, Victoria Island, Lagos.",,,,"+23412623343,+23412647072",
RC6135,CHEVRON NIGERIA LIMITED,,"2 Chevron Drive, Lekki Peninsula, Lagos, Nigeria.",E.O.Shadiya,,,"(01)2772222, (01)7357799",A.L. Fawthrop
,CHORUS ENERGY,,,,,,,
,CLEANWATERS CONSORTIUM,,,,,,,
,CNODC,,,,,,,
,CONCOCOPHILIPS NIGERIA LIMITED,,"IBTC place, Walter Carrington Crescent, Victoria Island, Lagos.",,,,,
,CONOCOPHILLIPS,,,,,,,
,CONSOLIDATED OIL COMPANY LIMITED,,"Plot 289, Ajose Adeogun Street, Victoria Island, Lagos.",,,,,
,CONTINENTAL OIL & GAS COMPANY LIMITED,,"211B, Corporation Drive, Dolphin Estate, Osborne Road, Ikoyi, Lagos.",,,,,
,CROWNWELL PETROLEUM LIMITED,,,,,,,
,DAJO OIL LIMITED,,,,,,,
RC381740,DANSAKI PETROLEUM LIMITED,,"10,  Anuoluwapo Close(Off agbaoku street),Opebi, Ikeja, Lagos.",Ade,Afolabi,dunpetltd@yahoo.co.uk,"234-1-7748241, DL: 234-1-8537181, 2348033338868",Engr. Ade.A.Afolabi
,DEL-SIGMA,,,,,,,
,DSV,,,,,,,
,DUBRI OIL COMPANY NIGERIA LIMITED,,,,,,,
,ELCREST,,,,,,,
RC312274,EMERALD ENERGY RESOURCES LIMITED,,"No 1, Banford Williams Close, Victoria Island, Lagos.",Ben,Onyeise,,01-461-9075,Dr. E.O. Egbogah
,ENERGEED RESOURCES LTD,,,,,,,
,ENERGIA LIMITED,,"Suite A8,Plot 29,Prof Kiumi Akingbehin Street,Off Mike Adegbite Street,Off Ladipo Omotosho Cole Street,Lekki, Lagos.",,,,,
,ESSAR EXPLORATION,,,,,,,
RC214536,ESSO EXPLORATION AND PRODUCTION NIGERIA LIMITED,,"Mobil House, Lekki Expressway, Victoria Island, Lagos, Nigeria.",Victor,Olaiya,,"+234(0)8170202020, +234(0)8170303033, +234-1-2801100-14",Victor .A. Olaiya
,EURAFIC ENERGY LIMITED,,,,,,,
,EXCEL E & P,,,,,,,
,EXPRESS PETROLEUM & GAS COMPANY LIMITED,,"11, Babatunde Jose Road, Victoria Island, Lagos.",,,,,
,FES,,,,,,,
,FIRST HYDROCARBON,,,,,,,
,FRONTIER OIL LIMITED,,"9a/9b Joseph Adu Street,Off Simeon Akinlonu Crescent,Off Oba Idowu Oniru Street,Oniru Private Estate,Victoria Island Extension, Lagos.",,,,,
,GAS TRANSMISSION & POWER LIMITED,,,,,,,
RC692927,GEC PETROLEUM DEVELOPMENT COMPANY LIMITED,,"Plot 182B, Kofo Abayomi Street, Victoria Island, Lagos, Nigeria.",Chukwudi,Dioka,e.mdo@globalenergyco.com,-4628566,Chukwudi Dioka
,GLOBAL ENERGY COMPANY  LIMITED  ,,,,,,,
,GOLAND PETROLEUM DEV.CO. LIMITED,,,,,,,
,GRASSO/SIGNMUND,,,,,,,
,GUARANTEE PETROLEUM LIMITED,,,,,,,
,HERITAGE OIL AND GAS,,,,,,,
,INC NATURAL RESOURCES,,,,,,,
,INDEPENDENT ENERGY LIMITED,,,,,,,
,JAPEX,,,,,,,
,JEREZ ENERGY INC,,,,,,,
,KNOC NIGERIA,,,,,,,
,MIDWESTERN OIL AND GAS  COMPANY PLC,,"11, Abimbola Awoniyi Close, Off Saka Tinubu Street, Victoria Island, Lagos.",,,,,
,MILLENIUM OIL & GAS COMPANY LIMITED,,"4, Tokunbo Omisore Street, Lekki Phase 1, Lagos.",Chiedu,Ebie,info@mogcl.com.ng,-2708945,Chiedu Ebie
