Field_Name,Block_Name,Zone_Name
ABANA,OML 114,N/A
ABANG,OML 70,N/A
ABASARE,OML 28,N/A
ABIALA,OLM 40,N/A
ABIGBORODO,OML 49,N/A
ABITEYE,OML 49,N/A
ABO CENTRAL,OML 125,N/A
ABO NORTH,OML 125,N/A
ABOH,OML 26,N/A
ABRAKA,OML38,N/A
ABURA,OML 65,N/A
ABURA SOUTH EAST,OML 65,N/A
ADANGA,OML 123,N/A
ADANGA NORTH,OML 123,N/A
ADIBAWA,OML 27,N/A
ADIBAWA NORTH EAST,OML 27,N/A
ADOLO,OML 98,N/A
ADUA,OML 70,N/A
ADUA Y,OML 70,N/A
AFAM,OML11,N/A
AFAM UMUOSI,OML 11,N/A
AFIA,OML 100,N/A
AFIA (C + W),OML 100,N/A
AFIANDO,OPL 2009,N/A
AFIESERE,OML 30,N/A
AFREMO,OML 43,N/A
AFUO,OML 35,N/A
AGBADA,OML 17,N/A
AGBAMI,OML 127,N/A
AGBARA,OML 116,N/A
AGBAYA,OML 36,N/A
AGOGBORO,OML 43,N/A
AGU,OPL 277,N/A
AGWE,OML 60,N/A
AHIA,OML 21,N/A
AJAKETON,OML 63,N/A
AJAPA,OML 90,N/A
AJATITON,OML 35,N/A
AJE,OML 110,N/A
AJOKPORI,OML 11,N/A
AJUJU,OML 42,N/A
AKAI,OML 13,N/A
AKAM,OML 123,N/A
AKAMBA-MFONISO,OML 102,N/A
AKAN,OML 13,N/A
AKASO,OML 18,N/A
AKATA,OML 13,N/A
AKEPO,OML 90,N/A
AKONO,OML 46,N/A
AKPO,OML 130,N/A
AKPO WEST,OML 130,N/A
AKPOR,OML 17,N/A
AKRI,OML 60,N/A
AKRI WEST,OML 60,N/A
AKUBA,OML 11,N/A
ALAKIRI,OML 18,N/A
ALAKIRI EAST,OML 11,N/A
ALAOMA,OML 53,N/A
ALELE,OML 35,N/A
ALIMINI,OML 22,N/A
ALINSO,OML 61,N/A
ALO,OML 7,N/A
ALUBI,OML 7,N/A
AMANIBA,OML 67,N/A
AMANIBA WEST,OML 67,N/A
AMAPU,OML 21,N/A
AMENAM - KPONO,OML 99,N/A
AMENAM EAST,OML 99,N/A
AMENAM / KPONO,OML 70,N/A
AMENAM - LEVEL A,OML 99,N/A
AMENAM - R15,OML 99,N/A
AMESHI,OML 39,N/A
AMOJI,OML 56,N/A
AMUKPE,OML 38,N/A
ANGALALEI,OML 35,N/A
ANIEZE,OML 39,N/A
ANTAN,OML 123,N/A
ANYALA,OML 83,N/A
APANI,OML 53,N/A
APARA,OML 17,N/A
APARO,OML 249,N/A
ARAN,OML 104,N/A
AROH,OML 49,N/A
ASABO,OML 70,N/A
ASABO DEEP,OML 70,N/A
ASABORO,OML 98,N/A
ASABORO SOUTH,OML 98,N/A
ASANGA,OML 137,N/A
ASARAMATORU,OML 11,N/A
ASARITORU,OML 18,N/A
ASASA,OML 67,N/A
ASASA WEST,OML 102,N/A
ASEMOKE,OML 60,N/A
ASHAKA,OML 60,N/A
ASSA,OML 21,N/A
ASSA NORTH,OML 21,N/A
ASUOKPU,OML 38,N/A
ATA,OML 68,N/A
ATAKTAK,OML 70,N/A
ATALA,OML 46,N/A
ATAMBA,OML 42,N/A
AWARA,OML 21,N/A
AWAWA,OML 104,N/A
AWOBA,OML 24,N/A
AWOBA NORTH,OML 21,N/A
AWOBA NORTH WEST,OML 24,N/A
AWODI,OML 90,N/A
AZAMA,OML 95,N/A
AZUZUAMA,OML 63,N/A
BANGHAN,OML 11,N/A
BANIELE,OML11,N/A
BARRACUDA,OML 141,N/A
BATAN,OML 42,N/A
BELEMA,OML 25,N/A
BELEMA NORTH ,OML 55,N/A
BELLA,OML 103,N/A
BENIBOYE NORTH,OML 62,N/A
BENIBOYE WEST,OML 62,N/A
BENIKU,OML 60,N/A
BENIN ESTUARY,OML 43,N/A
BENIN RIVER,OML 49,N/A
BENISEDE,OML 35,N/A
BENI-UDEN,OML 31,N/A
BETA,OML114,N/A
BILABRI,OML 122,N/A
BILAH,OML 129,N/A
BILLE,OML 18,N/A
BIME,OML 49,N/A
BISENI,OML 27,N/A
BITA,OML 95,N/A
BOBO,OML 322,N/A
BODO ,OML11,N/A
BODO WEST,OML 11,N/A
BOGI,OML 123,N/A
BOLIA,OML 135,N/A
BOMADI,OML 35,N/A
BOMU,OML 35,N/A
BONGA MAIN,OML 118,N/A
BONGA ADDITIONAL,OML 118,N/A
BONGA NORTH,OML 118,N/A
BONGA NORTH WEST,OML 118,N/A
BONGA SOUTH WEST,OML 118,N/A
BONNY,OML 27,N/A
BONNY NORTH,OML 11,N/A
BOSI CENTRAL,OML 133,N/A
BOSI SOUTH WEST,OML 133,N/A
BUBOUWE BOU,OML 33,N/A
BUGUMA CREEK,OML 18,N/A
CAWTHORNE CHANNEL,OML 18,N/A
CHOTA,OML 131,N/A
CLARENDON ISLAND,OML 141,N/A
CLARENDON SOUTH,OML 141,N/A
CLOUGH CREEK,OML 63,N/A
CLOUGH CREEK EAST,OML 63,N/A
CROSS RIVER,OML 114,N/A
DAVY BANK,OML 14,N/A
DAWES ISLAND,OML 54,N/A
DELTA,OML 49,N/A
DELTA SOUTH,OML 49,N/A
DIBI,OML 49,N/A
