RCNumber,name,CanonialName,address
,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) LIMITED,,"10, Bishop Aboyade Cole Street, Victoria Island, Lagos."
,AFREN GLOBAL ENERGY RESOURCES LIMITED,,
,AFRICOIL & MARKETING,,
,AGIP ENERGY & NATURAL RESOURCES (AENR),,
,ALFRED JAMES NIGERIA LIMITED,,
RC180681,ALLIED ENERGY RESOURCES NIGERIA  LIMITED,,"Plot 1649, Olosa Street, Victoria Island, Lagos, Nigeria."
,AMALGAMATED OIL,,
,AMNI INTERNATIONAL PETROLEUM LIMITED,,"1377 Tiamiyu Salvage Street, Victoria Island, Lagos."
,ASHBERT,,
,ASSOCIATED OIL & GAS LIMITED,,
,ATLAS PETROLEUM NIGERIA LIMITED,,"Plot 8, Water Corporation way, Off Ligali Ayorinde, Oniru Estate, Victoria Island, Lagos."
,BAYELSA PETROLEUM,,
,BG EXPLORATION,,
,BICTA ENERGY,,
,BOC JNHP CONSORTIUM,,
,BRITTANIA-U NIGERIA LIMITED,,"14, Saka Tinubu Street, Off Akin Adesola Street, Victoria Island, Lagos."
,CAVENDISH PETROLEUM NIGERIA LIMITED,,"22, Adeleke Adedoyin Street, Victoria Island, Lagos."
RC6135,CHEVRON NIGERIA LIMITED,,"2 Chevron Drive, Lekki Peninsula, Lagos, Nigeria."
,CHORUS ENERGY,,
,CLEANWATERS CONSORTIUM,,
,CNODC,,
,CONCOCOPHILIPS NIGERIA LIMITED,,"IBTC place, Walter Carrington Crescent, Victoria Island, Lagos."
,CONOCOPHILLIPS,,
,CONSOLIDATED OIL COMPANY LIMITED,,"Plot 289, Ajose Adeogun Street, Victoria Island, Lagos."
,CONTINENTAL OIL & GAS COMPANY LIMITED,,"211B, Corporation Drive, Dolphin Estate, Osborne Road, Ikoyi, Lagos."
,CROWNWELL PETROLEUM LIMITED,,
,DAJO OIL LIMITED,,
RC381740,DANSAKI PETROLEUM LIMITED,,"10,  Anuoluwapo Close(Off agbaoku street),Opebi, Ikeja, Lagos."
,DEL-SIGMA,,
,DSV,,
,DUBRI OIL COMPANY NIGERIA LIMITED,,
,ELCREST,,
RC312274,EMERALD ENERGY RESOURCES LIMITED,,"No 1, Banford Williams Close, Victoria Island, Lagos."
,ENERGEED RESOURCES LTD,,
,ENERGIA LIMITED,,"Suite A8,Plot 29,Prof Kiumi Akingbehin Street,Off Mike Adegbite Street,Off Ladipo Omotosho Cole Street,Lekki, Lagos."
,ESSAR EXPLORATION,,
RC214536,ESSO EXPLORATION AND PRODUCTION NIGERIA LIMITED,,"Mobil House, Lekki Expressway, Victoria Island, Lagos, Nigeria."
,EURAFIC ENERGY LIMITED,,
,EXCEL E & P,,
,EXPRESS PETROLEUM & GAS COMPANY LIMITED,,"11, Babatunde Jose Road, Victoria Island, Lagos."
,FES,,
,FIRST HYDROCARBON,,
,FRONTIER OIL LIMITED,,"9a/9b Joseph Adu Street,Off Simeon Akinlonu Crescent,Off Oba Idowu Oniru Street,Oniru Private Estate,Victoria Island Extension, Lagos."
,GAS TRANSMISSION & POWER LIMITED,,
RC692927,GEC PETROLEUM DEVELOPMENT COMPANY LIMITED,,"Plot 182B, Kofo Abayomi Street, Victoria Island, Lagos, Nigeria."
,GLOBAL ENERGY COMPANY  LIMITED  ,,
,GOLAND PETROLEUM DEV.CO. LIMITED,,
,GRASSO/SIGNMUND,,
,GUARANTEE PETROLEUM LIMITED,,
,HERITAGE OIL AND GAS,,
,INC NATURAL RESOURCES,,
,INDEPENDENT ENERGY LIMITED,,
,JAPEX,,
,JEREZ ENERGY INC,,
,KNOC NIGERIA,,
,MIDWESTERN OIL AND GAS  COMPANY PLC,,"11, Abimbola Awoniyi Close, Off Saka Tinubu Street, Victoria Island, Lagos."
,MILLENIUM OIL & GAS COMPANY LIMITED,,"4, Tokunbo Omisore Street, Lekki Phase 1, Lagos."
RC6284,MOBIL PRODUCING NIGERIA UNLIMITED,,"Mobil House, Lekki Expressway, Victoria Island, Lagos, Nigeria."
,MONI PULO LIMITED,,"5,Odoni Street, Amadi Flats, Port Harcourt, Rivers State, Nigeria."
,MOVIDO EXPLORATION AND PRODUCING LIMITED,,"18, Alhaji Bashorun Street, Off Norman Williams, South West, Ikoyi, Lagos."
,NECONDE,,
RC403841,NETWORK E & P NIGERIA LIMITED,,"109, Awolowo Road, Ikoyi, Lagos."
,NEW CROSS PETROLEUM,,
,NEW NIGERIA,,
,NIG-DEL UNITED LIMITED,,
,NIGER DELTA PETROLEUM RESOURCES LIMITED,,"15b, Festival Road, P.O.Box 73880 Victoria Island, Lagos"
,NIGER DELTA WESTERN LIMITED,,
,NIGERIA AGIP EXPLORATION,,"Plot Pc 23, Engineering Close, Victoria Island, Lagos."
,NIGERIA AGIP OIL COMPANY LIMITED,,"Plot Pc 23, Engineering Close, Victoria Island, Lagos."
,NIGERIA PETROLEUM DEVELOPMENT COMPANY,,
,NOREAST PETROLEUM NIGERIA LIMITED,,"21b, Oju Olobun Close, Victoria Island, Lagos."
,OANDO EXPLORATION AND PRODUCTION LIMITED,,"Stallion House, 2 Ajose Adeogun Street, Victoria, Island, Lagos."
,OIL AND GAS NIGERIA LIMITED,,
,OILWORLD LIMITED,,
