Well_Name,WellType_Name,WellClass_Name,Total_Dept,SPud_Date,Remarks,Production Completed
ABA TOWN-1,Not Applicable,EXP,2440.8,Aug 29/59,,
ABAJI OKOLO-1,Not Applicable,EXP,3612,May 15/04,,
ABAK ENIN-1,Not Applicable,EXP,2880,Aug 28/75,,
ABANA-1,Not Applicable,EXP,1896,Mar 01/97,,
ABANA-A10,Oil Producer,DEV,2195,Oct 08/98,,
ABANA-A11,Oil Producer,DEV,2542,Oct 05/98,,
ABANA-A12,Oil Producer,DEV,2666,Dec 15/98,,
ABANA-A13,Oil Producer,DEV,2000,Sep 01/03,,
ABANA-A13P1,Oil Producer,DEV,2000,Aug 01/03,,
ABANA-A15,Water Injector,DEV,2027,Jan 15/99,,
ABANA-A16,Water Injector,DEV,1997,Jan 15/99,,
ABANA-A17,Oil Producer,DEV,1700,May 05/01,,
ABANA-A18,Not Applicable,ORD APP,2000,Jul 01/03,,
ABANA-A18ST,Not Applicable,ORD APP,2500,Aug 01/03,,
ABANA-A19,Oil Producer,DEV,2000,Dec 01/04,,
ABANA-A20,Oil Producer,DEV,,Jan 01/05,,
ABANA-A21,Oil Producer,DEV,,Feb 01/05,,
ABANA-A22,Oil Producer,DEV,,Mar 01/05,,
ABANA-A23,Oil Producer,DEV,,Apr 01/05,,
ABANA-A2HST,Oil Producer,DEV,2608,Jul 05/98,,
ABANA-A2PH1,Not Applicable,ORD APP,1798,Apr 30/98,,
ABANA-A2PH2,Not Applicable,ORD APP,2728,May 26/98,,
ABANA-A3,Oil Producer,DEV,2423,Jul 01/98,,
ABANA-A4,Oil Producer,DEV,2603,Jun 05/01,,
ABANA-A5,Oil Producer,DEV,2103,Apr 04/98,,
ABANA-A6HST,Oil Producer,DEV,2085,Aug 05/98,,
ABANA-A6PH1,Oil Producer,DEV,1601,Jun 15/98,,
ABANA-A7,Oil Producer,DEV,2041,Apr 13/98,,
ABANA-A8,Oil Producer,DEV,2927,Sep 05/98,,
ABANA-A8PH1,Oil Producer,DEV,1615,Jul 05/98,,
ABANA-A8PH2,Oil Producer,DEV,1707,Aug 15/98,,
ABANA-A9HST,Oil Producer,DEV,2950,Oct 24/98,,
ABANA-A9PH1,Not Applicable,ORD APP,2763,Aug 15/98,,
ABANA-A9PH2,Not Applicable,ORD APP,2590,Sep 05/98,,
ABANA-A9PH3,Oil Producer,DEV,2153,Sep 25/98,,
ABANA-A9PH4,Oil Producer,DEV,1561,Oct 15/98,,
ABANG-03A,Oil Producer,DEV,3522,08.08.2012,,
ABANG-04A,Oil Producer,DEV,3846,17.08.2012,,
ABANG-1,Not Applicable,EXP,3535,Jun 24/92,,
ABANG-2,Not Applicable,ORD APP,4431.8,Jul 01/99,,
ABANG-2ST1,Not Applicable,ORD APP,4688.4,Sep 08/99,,
ABARA-1,Not Applicable,EXP,3048,Jan 14/74,,
ABASARE-1,Not Applicable,EXP,3963.9,Dec 21/64,,
ABASARE-2,Not Applicable,ORD APP,2231.1,Feb 17/66,,
ABASARE-3,Not Applicable,ORD APP,2425.3,Jan 26/67,,
ABASARE-4,Not Applicable,ORD APP,3794.2,Feb 13/67,,
ABIALA-1,Not Applicable,EXP,3360,Dec 07/89,,
ABIGBORODO WEST-1,Not Applicable,EXP,3353,Feb 06/79,,
ABIGBORODO-1,Not Applicable,EXP,3783,May 03/74,,
ABITEYE WEST-1,Not Applicable,EXP,2896,Apr 23/74,,
ABITEYE-1,Not Applicable,EXP,3025,Nov 11/70,,
ABITEYE-10,Oil Producer,DEV,2727,Apr 10/72,,
